IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.32.238,2053,2053,true,NRT,Asia Pacific,Tokyo,117,10.48
158.101.154.70,80,80,false,NRT,Asia Pacific,Tokyo,84,10.48
140.238.48.97,8443,8443,true,NRT,Asia Pacific,Tokyo,82,10.47
140.238.36.216,2095,2095,false,NRT,Asia Pacific,Tokyo,71,10.46
146.235.210.182,2053,443,true,SJC,North America,San Jose,180,10.44
158.101.157.173,2082,2082,false,NRT,Asia Pacific,Tokyo,69,10.43
141.147.164.54,2082,2082,false,NRT,Asia Pacific,Tokyo,70,10.43
132.145.120.95,8880,8880,false,NRT,Asia Pacific,Tokyo,68,10.43
141.147.167.40,8080,8080,false,NRT,Asia Pacific,Tokyo,75,10.39
132.145.121.123,2095,2095,false,NRT,Asia Pacific,Tokyo,71,10.36
168.138.200.155,2053,2053,true,NRT,Asia Pacific,Tokyo,71,10.33
168.138.200.159,2053,2053,true,NRT,Asia Pacific,Tokyo,77,10.32
146.235.210.182,8443,443,true,SJC,North America,San Jose,186,10.31
146.235.218.129,443,443,true,SJC,North America,San Jose,194,10.31
158.101.146.160,2052,2052,false,NRT,Asia Pacific,Tokyo,71,10.31
140.238.33.94,2096,2096,true,NRT,Asia Pacific,Tokyo,84,10.30
131.186.59.94,2082,2082,false,NRT,Asia Pacific,Tokyo,71,10.28
140.238.50.32,2083,2083,true,NRT,Asia Pacific,Tokyo,80,10.23
152.70.99.218,2086,2086,false,NRT,Asia Pacific,Tokyo,71,10.23
129.146.240.62,443,443,true,LAX,North America,Los Angeles,206,10.20
140.238.50.32,2053,2053,true,NRT,Asia Pacific,Tokyo,74,10.15
141.147.191.211,2095,2095,false,NRT,Asia Pacific,Tokyo,69,10.15
140.238.32.238,2083,2083,true,NRT,Asia Pacific,Tokyo,102,10.12
192.9.138.241,443,443,true,SJC,North America,San Jose,178,10.10
152.67.250.155,443,443,true,SJC,North America,San Jose,180,10.10
131.186.62.26,8080,8080,false,NRT,Asia Pacific,Tokyo,70,10.10
140.238.39.33,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.10
152.70.106.185,80,80,false,NRT,Asia Pacific,Tokyo,75,10.06
131.186.44.38,2083,2083,true,NRT,Asia Pacific,Tokyo,90,10.02
141.147.178.135,8880,8880,false,HKG,Asia Pacific,Hong Kong,122,9.99
141.147.166.95,2053,2053,true,NRT,Asia Pacific,Tokyo,73,9.97
140.238.41.253,2053,2053,true,NRT,Asia Pacific,Tokyo,71,9.95
158.101.137.74,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.94
155.248.162.160,80,80,false,NRT,Asia Pacific,Tokyo,69,9.94
158.101.149.52,2053,2053,true,NRT,Asia Pacific,Tokyo,78,9.83
158.101.137.96,8443,8443,true,NRT,Asia Pacific,Tokyo,75,9.79
141.147.185.145,443,443,true,SIN,Asia Pacific,Singapore,70,9.77
140.238.50.32,80,80,false,NRT,Asia Pacific,Tokyo,69,9.75
158.101.131.218,2083,2083,true,NRT,Asia Pacific,Tokyo,92,9.71
152.70.98.174,2086,2086,false,NRT,Asia Pacific,Tokyo,69,9.70
141.147.160.221,80,80,false,NRT,Asia Pacific,Tokyo,71,9.68
152.70.106.195,2087,2087,true,NRT,Asia Pacific,Tokyo,73,9.64
168.138.194.74,443,443,true,NRT,Asia Pacific,Tokyo,69,9.62
158.101.131.218,8080,8080,false,NRT,Asia Pacific,Tokyo,67,9.61
158.101.146.160,80,80,false,NRT,Asia Pacific,Tokyo,71,9.58
158.101.146.160,2053,2053,true,NRT,Asia Pacific,Tokyo,87,9.58
140.238.33.94,8443,8443,true,NRT,Asia Pacific,Tokyo,116,9.57
141.147.164.54,2095,2095,false,NRT,Asia Pacific,Tokyo,93,9.56
146.56.44.88,443,443,true,ICN,Asia Pacific,Seoul,112,9.52
140.238.39.33,8080,8080,false,NRT,Asia Pacific,Tokyo,67,9.50
140.238.41.253,8443,8443,true,NRT,Asia Pacific,Tokyo,98,9.36
158.101.154.70,2096,2096,true,NRT,Asia Pacific,Tokyo,94,9.35
132.145.120.118,8080,8080,false,NRT,Asia Pacific,Tokyo,80,9.35
158.101.149.52,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.18
140.238.39.33,2083,2083,true,NRT,Asia Pacific,Tokyo,70,9.16
192.9.135.122,8443,443,true,SJC,North America,San Jose,177,9.13
141.147.167.40,2095,2095,false,NRT,Asia Pacific,Tokyo,69,9.06
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,206,9.00
158.101.157.173,2087,2087,true,NRT,Asia Pacific,Tokyo,96,8.98
158.101.159.181,2053,2053,true,NRT,Asia Pacific,Tokyo,78,8.96
158.101.157.173,2083,2083,true,NRT,Asia Pacific,Tokyo,91,8.91
132.145.114.250,2052,2052,false,NRT,Asia Pacific,Tokyo,69,8.91
158.101.154.70,2083,2083,true,NRT,Asia Pacific,Tokyo,79,8.90
131.186.59.94,80,80,false,NRT,Asia Pacific,Tokyo,69,8.89
